USERNAME,RANK,RATING,MAX RATING,TWITTER HANDLE,COUNTRY
cwystc,491st,2225,2225, , China
percywtc,491st,2225,2225, , Hong Kong
Motarack,491st,2225,2370, , Jordan
pachicobue,491st,2225,2276,pachicobue, Japan
xiaowuc1,491st,2225,2225, , United States of America
nwin,491st,2225,2358, , Japan
kjp4155,497th,2223,2223, , Republic of Korea
tloinuy,497th,2223,2255, , United States of America
base64,499th,2220,2325,basemusi, Japan
zkx06111,500th,2219,2219, , China
kazuma,500th,2219,2219, , Japan
potetisensei,500th,2219,2305,kyuridenamida, Japan
ymatsux,500th,2219,2219,ymatsux_puzzle, Japan
zscefn,504th,2218,2229, , Finland
behzad_nouri,505th,2217,2318, , United States of America
Burunduk1,506th,2216,2216, , Russia
zhou888,506th,2216,2216, , China
spencercompton,506th,2216,2360, , United States of America
yaketake08,509th,2214,2277,jken_ull, Japan
retrograd,510th,2211,2267, , Romania
Kuzey,511st,2210,2210, , Iran
Antiforest,511st,2210,2210, , Australia
MMahdi,513rd,2209,2209, , Iran
Alexandr_TS,514th,2207,2238, , Russia
progmatic,515th,2206,2206, , Belarus
AHWHRKY,515th,2206,2206, , China
kouki1223,517th,2204,2306,furuya1223, Japan
Noobgam,518th,2203,2203, , Russia
gigime,518th,2203,2301, , Japan
dragonslayerit,520th,2201,2201, , United States of America
adrianbudau,521st,2200,2242,abudau, Romania
t3cmax,521st,2200,2200, , China
natrium,521st,2200,2226,natrium11321, Japan
bx2k,524th,2199,2199, , China
athin,525th,2198,2265,athin2008, Indonesia
eli,526th,2196,2196, , Russia
tanakh,526th,2196,2406,tanakh, Japan
aryansm,528th,2195,2195, , Iran
heyshb,529th,2194,2194, , China
FMota,530th,2192,2252, , Brazil
Aksenov239,530th,2192,2192, , Russia
amano,530th,2192,2372, , Japan
csy2005,533rd,2190,2190, , China
suiyuan2009,533rd,2190,2224, , China
rsalesc,535th,2189,2280, , Brazil
t90tank,536th,2187,2187, , China
Blue233333,537th,2185,2185, , China
Wuvin,538th,2184,2241, , China
white,539th,2183,2183, , Russia
satyaki3794,539th,2183,2265, , India
jtnydv25,539th,2183,2328, , India
yukim,539th,2183,2187,y_mazun, Japan
Cydiater,543rd,2179,2179, , China
Pasha,543rd,2179,2179, , Russia
Sumeet_Varma,543rd,2179,2179, , India
bk2dcradle,543rd,2179,2211,AnkitSultana, India
atetubou,543rd,2179,2179,atetubou, Japan
dans,548th,2177,2177, , Russia
yylidiw,549th,2176,2176, , China
yamad,549th,2176,2291,DAyamaCTF, Japan
yp155136,551st,2175,2175, , Taiwan
azadi,552nd,2174,2174, , Iran
Yukimai,552nd,2174,2174, , China
monolith,552nd,2174,2233, , Japan
liumy2010,555th,2173,2173, , China
alexpetrescu,555th,2173,2210, , Romania
tanphatls987,555th,2173,2230, , Viet Nam
olphe,555th,2173,2264,_olphe, Japan
khaledkee,559th,2172,2269, , Egypt
spencer,559th,2172,2262, , United States of America
zyding,561st,2168,2168, , China
eitaho,561st,2168,2168,eitaho, Japan
hld67890,563rd,2167,2167, , China
bluestocking,564th,2166,2166, , China
Newnode,565th,2165,2165, , China
vyacheslav,566th,2162,2344, , Russia
maze1230,566th,2162,2162,pazzle1230, Japan
chaemon,566th,2162,2221,chaemon_, Japan
absi2011,569th,2161,2161, , China
AlCash,569th,2161,2161, , Ukraine
fangyoule,571st,2159,2159, , China
cnyali_lk,572nd,2158,2202, , China
qwertier,572nd,2158,2158, , China
glebushka98,572nd,2158,2193, , Russia
beginend,575th,2157,2157, , China
Sampson,575th,2157,2157, , Hong Kong
gilcu3,575th,2157,2157, , Cuba
mayoko,575th,2157,2284,mayoko_, Japan
georgerapeanu,579th,2155,2214, , Romania
liu_runda,580th,2154,2323, , China
dragonic,580th,2154,2154, , Russia
Great_Influence,582nd,2153,2196, , China
Neil,583rd,2151,2151, , Canada
gamelove765,583rd,2151,2151,spark573, Japan
andrey_efremov,585th,2149,2149, , Russia
EvgeniSergeev,586th,2148,2264, , Australia
kczno1,587th,2147,2147, , China
mikecat,588th,2146,2146,mikecat_mixc, Japan
shimomire,589th,2143,2143,shimomire, Japan
Enchom,590th,2140,2140, , Bulgaria
satja,591st,2138,2138, , Croatia
akulsareen,592nd,2137,2175, , India
jh05013,593rd,2136,2136,jhznktrk, Republic of Korea
praran26,594th,2135,2135, , India
george_s,594th,2135,2135, , Russia
v_haralampiev,596th,2134,2188, , Bulgaria
lzw4896s,596th,2134,2134, , China
sheyasutaka,598th,2132,2142,hirakich1310354, Japan
JKS,599th,2130,2130, , Poland
Morass,599th,2130,2130, , Czech Republic
I3MNIX,601st,2129,2195, , Australia
cicada,602nd,2128,2128, , China
rubabredwan,603rd,2127,2199,rubabredwan, Bangladesh
ctyl,603rd,2127,2254,ctyl_0, Japan
TearsFreeze,605th,2126,2126, , China
piob,605th,2126,2126, , Poland
nikgaevoy,607th,2125,2192, , Russia
bigelephant29,607th,2125,2156, , Taiwan
naoki2016,609th,2124,2159,naoki_2016, Japan
xzkkjm_,610th,2122,2122, , China
cjtoribio,610th,2122,2122, , Dominican Republic
qoo2p5,612nd,2121,2121, , Russia
Ajatar,612nd,2121,2121, , China
grphil,612nd,2121,2121, , Russia
rxdoi,612nd,2121,2121, , China
Dream_Reality,616th,2120,2133, , China
imcoding,616th,2120,2131, , China
wdyhy,618th,2118,2123,wu, China
AlexeyEnkov,619th,2117,2117, , Russia
hey_boris,620th,2116,2116, , Russia
konjo,620th,2116,2225,konjo_p, Japan
goldgenius,622nd,2114,2114, , China
Trumen,623rd,2113,2113, , Ukraine
ynymxiaolongbao,624th,2111,2111,Segtree, Japan
Shayan_Jahan,625th,2109,2109, , Iran
a2stnk,626th,2107,2188, , Japan
fetetriste,627th,2106,2431, , Russia
qnighy,628th,2105,2118,qnighy, Japan
nqiiii,629th,2104,2104, , China
Vax,629th,2104,2148, , Poland
shayanp,631st,2101,2101, , Iran
femsub,631st,2101,2101, , China
Darsein,631st,2101,2124,Darsein, Japan
namelessmonster,634th,2098,2133, , India
threepipes_s,635th,2097,2104,threepipes_s, Japan
nai,635th,2097,2353,nai__70, Japan
omochana2,637th,2096,2096,omochanal, Japan
alei,638th,2095,2117, , Peru
krey,639th,2093,2093, , Poland
khokho,639th,2093,2133, , Georgia
RAVEman,639th,2093,2093, , Ukraine
hamidreza,642nd,2092,2108, , Iran
kotamanegi,642nd,2092,2157,small_onions, Japan
June_boy,644th,2091,2091,Euglenese, Japan
zhou8888,645th,2090,2090, , China
Jeffrey,646th,2088,2088, , Taiwan
Hasan0540,647th,2087,2214, , Jordan
Dariusicaa,648th,2084,2084, , Romania
BSBandme,648th,2084,2084, , China
ordyh,650th,2083,2083, , Poland
FF256grhy,651st,2079,2094,FF256grhy, Japan
imulan,651st,2079,2163,__imulan__, Japan
oyas,651st,2079,2091,oyas83, Japan
clatisus,654th,2078,2131, , China
Nicolas16,655th,2077,2077, , Belgium
